,Price,Street,City,Province,Bed,Bath,sqft
0,2666000,83 Harlandale Avenue,Toronto,ON,4+1 bed,5 bath,2500-3000 sqft
1,1679000,20 Tristan Crescent,Toronto,ON,2 bed,2 bath,1500-2000 sqft
2,699000,24 Cole Street,Toronto,ON,1 bed,1 bath,700-799 sqft
3,749900,101-90 Canon Jackson Drive,Toronto,ON,2 bed,1 bath,700-799 sqft
4,899000,906-330 Richmond Street W,Toronto,ON,1+1 bed,1 bath,700-799 sqft
5,1199999,143 Greyabbey Trail,Toronto,ON,3+2 bed,3 bath,
6,650000,1-34 Boston Avenue,Toronto,ON,1 bed,1 bath,600-699 sqft
7,1100000,64 Sloane Avenue,Toronto,ON,3+1 bed,2 bath,
8,2699000,4675 Dundas Street W,Toronto,ON,4 bed,6 bath,2500-3000 sqft
9,1000000,302-20 Tubman Avenue,Toronto,ON,3 bed,2 bath,1000-1199 sqft
10,729000,1806-390 Cherry Street,Toronto,ON,1+1 bed,1 bath,500-599 sqft
11,549000,PH23-700 Humberwood Boulevard,Toronto,ON,1+1 bed,1 bath,600-699 sqft
12,759900,201-1 Rowntree Road,Toronto,ON,2 bed,2 bath,1200-1399 sqft
13,970000,203-58 Orchard View Boulevard,Toronto,ON,2+1 bed,1 bath,900-999 sqft
14,1249900,907-8 Charlotte Street,Toronto,ON,2 bed,2 bath,800-899 sqft
15,3788000,452 Ruth Avenue,Toronto,ON,4+1 bed,6 bath,
16,648000,211-475 The West Mall ,Toronto,ON,3+1 bed,2 bath,1200-1399 sqft
17,899900,9 Forest Point Drive,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
18,999000,212 Mammoth Hall Trail,Toronto,ON,4 bed,3 bath,
19,1099000,224 Epsom Downs Drive,Toronto,ON,2+2 bed,2 bath,
20,1199000,12 Douville Court,Toronto,ON,3+1 bed,3 bath,1500-2000 sqft
21,689000,1401-49 Silverstone Drive,Toronto,ON,3 bed,2 bath,1200-1399 sqft
22,899000,1918-30 Shore Breeze Drive,Toronto,ON,2 bed,2 bath,700-799 sqft
23,599000,403-56 Forest Manor Road,Toronto,ON,1+1 bed,2 bath,600-699 sqft
24,525000,812-390 Dixon Road,Toronto,ON,3 bed,1 bath,1000-1199 sqft
25,699000,405-131 Torresdale Avenue,Toronto,ON,2 bed,2 bath,1400-1599 sqft
26,690000,311-1190 Dundas Street E,Toronto,ON,2+1 bed,1 bath,600-699 sqft
27,999999,542 Midland Avenue,Toronto,ON,3+1 bed,2 bath,
28,430000,#1608-5 San Romanoway Way,Toronto,ON,1 bed,1 bath,600-699 sqft
29,549900,3003-10 Park Lawn Road,Toronto,ON,1 bed,1 bath,500-599 sqft
30,1650000,53 Adamede Crescent,Toronto,ON,4 bed,2 bath,
31,638800,1301-17 Barberry Place,Toronto,ON,1+1 bed,2 bath,700-799 sqft
32,499900,2402-159 Wellesley Street E,Toronto,ON,1 bed,1 bath,0-499 sqft
33,749000,207-38 William Carson Crescent,Toronto,ON,1+1 bed,1 bath,700-799 sqft
34,899000,90 Ecclesfield Drive,Toronto,ON,3 bed,3 bath,
35,9199000,247 Forest Hill Road,Toronto,ON,5 bed,6 bath,5000+ sqft
36,999000,2808-8 Eglinton Avenue,Toronto,ON,2 bed,2 bath,600-699 sqft
37,499000,3707-2015 Sheppard Avenue,Toronto,ON,1 bed,1 bath,500-599 sqft
38,1388000,18 Lesskim Court,Toronto,ON,4+2 bed,5 bath,2000-2500 sqft
39,499000,PH4-73 Richmond Street W,Toronto,ON,– bed,1 bath,0-499 sqft
40,1558000,84 Inniscross Crescent,Toronto,ON,5+2 bed,9 bath,
